#MLRT	#	IV	5	#ML	LRT
or	&	IV	2	or	or
cigarette	N	IV	9	cig	tte
lng	!	OOV	3	lng	lng
?	,	IV	1	?	?
			
I'm	L	IV	3	I'm	I'm
CHARISSA	^	IV	8	CHA	SSA
BERNABE	^	IV	7	BER	ABE
,	,	IV	1	,	,
the	D	IV	3	the	the
reason	N	IV	6	rea	son
why	R	IV	3	why	why
I	O	IV	1	I	I
love	N	IV	4	lov	ove
Cornetto	N	OOV	8	Cor	tto
?	,	IV	1	?	?
Affordable	A	OOV	10	Aff	ble
+	&	OOV	1	+	+
Great	A	IV	5	Gre	eat
taste	V	IV	5	tas	ste
.	,	IV	1	.	.
#ReasonsWhyILoveREDCornetto	#	IV	27	#Re	tto
151	$	IV	3	151	151
			
Canon	^	IV	5	Can	non
EF	^	IV	2	EF	EF
70-200mm	$	IV	8	70-	0mm
f/	,	IV	2	f/	f/
2.8	$	IV	3	2.8	2.8
L	N	IV	1	L	L
IS	V	IV	2	IS	IS
USM	^	IV	3	USM	USM
#mantap	#	IV	7	#ma	tap
http://t.co/IBA5CjNYQD	U	IV	22	htt	YQD
			
I	O	IV	1	I	I
love	N	IV	4	lov	ove
the	D	IV	3	the	the
fact	N	IV	4	fac	act
Drew	A	IV	4	Dre	rew
Seeley	^	IV	6	See	ley
is	V	IV	2	is	is
on	P	IV	2	on	on
the	D	IV	3	the	the
Wizards	N	OOV	7	Wiz	rds
Of	P	IV	2	Of	Of
Waverly	^	IV	7	Wav	rly
Place	N	OOV	5	Pla	ace
soundtrack	N	IV	10	sou	ack
			
RT	~	IV	2	RT	RT
@QueenHoneyC	@	IV	12	@Qu	eyC
:	,	IV	1	:	:
Leave	V	IV	5	Lea	ave
all	D	IV	3	all	all
the	D	IV	3	the	the
bitchin	V	IV	7	bit	hin
to	P	IV	2	to	to
bitchez	N	OOV	7	bit	hez
!!!	,	IV	3	!!!	!!!
			
I'm	L	IV	3	I'm	I'm
so	R	IV	2	so	so
excited	V	IV	7	exc	ted
to	P	IV	2	to	to
see	V	IV	3	see	see
Andreina	!	OOV	8	And	ina
and	&	IV	3	and	and
Eliezer	^	IV	7	Eli	zer
!!	,	IV	2	!!	!!
			
RT	~	IV	2	RT	RT
@Sbongiseni_K	@	IV	13	@Sb	i_K
:	,	IV	1	:	:
that	O	IV	4	tha	hat
was	V	IV	3	was	was
a	D	IV	1	a	a
dope	N	IV	4	dop	ope
fight	N	IV	5	fig	ght
#NoLies	#	IV	7	#No	ies
RT	~	IV	2	RT	RT
@Lord_Prospit	@	IV	13	@Lo	pit
:	,	IV	1	:	:
Sasuke	^	IV	6	Sas	uke
and	&	IV	3	and	and
Itachi	^	IV	6	Ita	chi
Vs	V	IV	2	Vs	Vs
Kabuto	^	IV	6	Kab	uto
			
Hmm	!	OOV	3	Hmm	Hmm
.	,	IV	1	.	.
Also	R	IV	4	Als	lso
Bitlocker	^	IV	9	Bit	ker
isn't	V	IV	5	isn	n't
available	A	IV	9	ava	ble
on	P	IV	2	on	on
all	D	IV	3	all	all
versions	N	IV	8	ver	ons
of	P	IV	2	of	of
windows	N	IV	7	win	ows
,	,	IV	1	,	,
iirc	L	OOV	4	iir	irc
.	,	IV	1	.	.
			
This	D	IV	4	Thi	his
is	V	IV	2	is	is
wes	^	IV	3	wes	wes
brown	^	IV	5	bro	own
like	P	IV	4	lik	ike
defending	V	IV	9	def	ing
by	P	IV	2	by	by
athletico	N	OOV	9	ath	ico
if	P	IV	2	if	if
they	O	IV	4	the	hey
win	V	IV	3	win	win
it	O	IV	2	it	it
will	V	IV	4	wil	ill
be	V	IV	2	be	be
Titus	^	IV	5	Tit	tus
bramble	^	IV	7	bra	ble
worthy	A	IV	6	wor	thy
#ChampionsLeague	#	IV	16	#Ch	gue
			
RT	~	IV	2	RT	RT
@bbctennis	@	IV	10	@bb	nis
:	,	IV	1	:	:
Another	D	OOV	7	Ano	her
big	A	IV	3	big	big
day	N	IV	3	day	day
for	P	IV	3	for	for
@BritishTennis	@	IV	14	@Br	nis
in	P	IV	2	in	in
Paris	^	IV	5	Par	ris
.	,	IV	1	.	.
Murray	^	IV	6	Mur	ray
v	!	IV	1	v	v
Matosevic	^	IV	9	Mat	vic
and	&	IV	3	and	and
Watson	^	IV	6	Wat	son
v	!	IV	1	v	v
Halep	!	OOV	5	Hal	lep
from	P	IV	4	fro	rom
2	$	IV	1	2	2
UK	^	IV	2	UK	UK
time	N	IV	4	tim	ime
.	,	IV	1	.	.
http://t.co/isMHypB1w6	U	IV	22	htt	1w6
			
RT	~	IV	2	RT	RT
@HalaMadridJenni	@	IV	16	@Ha	nni
:	,	IV	1	:	:
@Shorty_Hdz15	@	IV	13	@Sh	z15
cus	P	IV	3	cus	cus
ihavnt	!	OOV	6	iha	vnt
received	V	IV	8	rec	ved
anything	N	IV	8	any	ing
cx	E	IV	2	cx	cx
lol	!	IV	3	lol	lol
			
@KhalilBrown_	@	IV	13	@Kh	wn_
shit	N	IV	4	shi	hit
rockin	V	IV	6	roc	kin
.	,	IV	1	.	.
go	V	IV	2	go	go
head	N	IV	4	hea	ead
show	N	IV	4	sho	how
that	O	IV	4	tha	hat
to	P	IV	2	to	to
bria	^	IV	4	bri	ria
.	,	IV	1	.	.
			
@MyTomlinsonArmy	@	IV	16	@My	rmy
@iHappilyZaynn	@	IV	14	@iH	ynn
@ayyeeeliam	@	IV	11	@ay	iam
@rissahoran20	@	IV	13	@ri	n20
@ParadisalAriana	@	IV	16	@Pa	ana
fav	!	IV	3	fav	fav
for	P	IV	3	for	for
a	D	IV	1	a	a
follow	V	IV	6	fol	low
back	R	IV	4	bac	ack
x	E	IV	1	x	x
			
Finna	V	OOV	5	Fin	nna
Delete	V	OOV	6	Del	ete
Kik	^	IV	3	Kik	Kik
I	O	IV	1	I	I
Don't	V	OOV	5	Don	n't
Even	R	IV	4	Eve	ven
Use	V	IV	3	Use	Use
The	D	IV	3	The	The
Shit	N	OOV	4	Shi	hit
			
@_queencliffordx	@	IV	16	@_q	rdx
im	L	IV	2	im	im
friends	N	IV	7	fri	nds
with	P	IV	4	wit	ith
grecia	!	OOV	6	gre	cia
I	O	IV	1	I	I
know	V	IV	4	kno	now
this	O	IV	4	thi	his
			
Ugh	!	OOV	3	Ugh	Ugh
I	O	IV	1	I	I
really	R	IV	6	rea	lly
want	V	IV	4	wan	ant
go	V	IV	2	go	go
there	R	IV	5	the	ere
also	R	IV	4	als	lso
hm	!	IV	2	hm	hm
pls	!	OOV	3	pls	pls
hehe	!	IV	4	heh	ehe
			
@SCSpirit2	@	IV	10	@SC	it2
@SCSPIRIT30	@	IV	11	@SC	T30
Erg	!	OOV	3	Erg	Erg
toffe	N	IV	5	tof	ffe
film	N	IV	4	fil	ilm
!	,	IV	1	!	!
Vooral	!	OOV	6	Voo	ral
op	!	IV	2	op	op
6:47	$	IV	4	6:4	:47
:)	E	OOV	2	:)	:)
			
Gettin	V	OOV	6	Get	tin
real	A	IV	4	rea	eal
jaunty	N	IV	6	jau	nty
this	O	IV	4	thi	his
morning	N	IV	7	mor	ing
w	G	IV	1	w	w
chocolate	N	IV	9	cho	ate
blueberry	N	IV	9	blu	rry
protein	N	IV	7	pro	ein
pancakes	N	IV	8	pan	kes
#sitonmydick	#	IV	12	#si	ick
			
@Aaaydri	@	IV	8	@Aa	dri
haha	!	IV	4	hah	aha
I	O	IV	1	I	I
just	R	IV	4	jus	ust
fired	V	IV	5	fir	red
yo	!	IV	2	yo	yo
ass	N	IV	3	ass	ass
all	D	IV	3	all	all
the	D	IV	3	the	the
way	N	IV	3	way	way
up	T	IV	2	up	up
haha	!	IV	4	hah	aha
,	,	IV	1	,	,
okay	!	IV	4	oka	kay
imma	L	IV	4	imm	mma
be	V	IV	2	be	be
nice	A	IV	4	nic	ice
			
Oh	!	IV	2	Oh	Oh
buz	!	IV	3	buz	buz
gibi	!	IV	4	gib	ibi
milkshake	N	IV	9	mil	ake
(@	P	OOV	2	(@	(@
Palmiye	^	IV	7	Pal	iye
Cafe	N	OOV	4	Caf	afe
w/	P	OOV	2	w/	w/
4	$	IV	1	4	4
others	N	IV	6	oth	ers
)	,	IV	1	)	)
http://t.co/0XCwC7ixlk	U	IV	22	htt	xlk
			
RT	~	IV	2	RT	RT
@daRealMrsLean	@	IV	14	@da	ean
:	,	IV	1	:	:
smokin	V	IV	6	smo	kin
a	D	IV	1	a	a
blunt	N	IV	5	blu	unt
while	P	IV	5	whi	ile
I'm	L	IV	3	I'm	I'm
gettin	V	IV	6	get	tin
head	N	IV	4	hea	ead
			
RT	~	IV	2	RT	RT
@freakytydoe	@	IV	12	@fr	doe
:	,	IV	1	:	:
@xgoldrings	@	IV	11	@xg	ngs
Lls	!	OOV	3	Lls	Lls
na	!	IV	2	na	na
you	O	IV	3	you	you
know	V	IV	4	kno	now
you	O	IV	3	you	you
be	V	IV	2	be	be
flexin	V	IV	6	fle	xin
em	O	IV	2	em	em
			
RT	~	IV	2	RT	RT
@Chulalesslie	@	IV	13	@Ch	lie
:	,	IV	1	:	:
@mydudeits_CECE	@	IV	15	@my	ECE
yees	!	IV	4	yee	ees
lol	!	IV	3	lol	lol
you	O	IV	3	you	you
always	R	IV	6	alw	ays
have	V	IV	4	hav	ave
me	O	IV	2	me	me
laughing	V	IV	8	lau	ing
with	P	IV	4	wit	ith
your	D	IV	4	you	our
tweets	N	IV	6	twe	ets
lmfao	!	OOV	5	lmf	fao
			
Dann	^	IV	4	Dan	ann
bin	N	IV	3	bin	bin
ich	!	IV	3	ich	ich
mal	!	IV	3	mal	mal
gespannt	!	OOV	8	ges	nnt
,	,	IV	1	,	,
wie	!	IV	3	wie	wie
A	D	IV	1	A	A
Million	$	IV	7	Mil	ion
Ways	N	OOV	4	Way	ays
to	P	IV	2	to	to
die	V	IV	3	die	die
in	P	IV	2	in	in
the	D	IV	3	the	the
West	^	IV	4	Wes	est
so	R	IV	2	so	so
ist	G	IV	3	ist	ist
			
RT	~	IV	2	RT	RT
@relatabIe	@	IV	10	@re	bIe
:	,	IV	1	:	:
because	P	IV	7	bec	use
fuck	!	IV	4	fuc	uck
u	O	IV	1	u	u
thats	L	OOV	5	tha	ats
why	R	IV	3	why	why
			
Yea	!	IV	3	Yea	Yea
im	L	IV	2	im	im
not	R	IV	3	not	not
gonna	V	IV	5	gon	nna
be	V	IV	2	be	be
happy	A	IV	5	hap	ppy
bout	P	IV	4	bou	out
bosh	!	IV	4	bos	osh
this	O	IV	4	thi	his
the	D	IV	3	the	the
least	A	IV	5	lea	ast
he	O	IV	2	he	he
culd	V	OOV	4	cul	uld
do	V	IV	2	do	do
after	P	IV	5	aft	ter
how	R	IV	3	how	how
he	O	IV	2	he	he
been	V	IV	4	bee	een
playin	V	IV	6	pla	yin
			
136	$	IV	3	136	136
Anak	^	IV	4	Ana	nak
Ikuti	^	IV	5	Iku	uti
Men's	N	OOV	5	Men	n's
Biore	^	IV	5	Bio	ore
Football	N	OOV	8	Foo	all
Heroes	^	IV	6	Her	oes
di	G	IV	2	di	di
Karebosi	^	IV	8	Kar	osi
http://t.co/wLXa4bpHpn	U	IV	22	htt	Hpn
			
ESTE	!	OOV	4	EST	STE
CHICO	^	IV	5	CHI	ICO
ME	O	IV	2	ME	ME
QUIERE	!	OOV	6	QUI	ERE
MATAR	^	IV	5	MAT	TAR
http://t.co/K8kk3KSi6q	U	IV	22	htt	i6q
			
RT	~	IV	2	RT	RT
@ArtyyLo	@	IV	8	@Ar	yLo
:	,	IV	1	:	:
@Rip_VDawg	@	IV	10	@Ri	awg
lol	!	IV	3	lol	lol
hell	!	IV	4	hel	ell
yeah	!	IV	4	yea	eah
haha	!	IV	4	hah	aha
			
ROFLMAO	!	OOV	7	ROF	MAO
!!!	,	IV	3	!!!	!!!
That	O	IV	4	Tha	hat
pitch	N	IV	5	pit	tch
by	P	IV	2	by	by
50	$	IV	2	50	50
cent	N	IV	4	cen	ent
tho	R	IV	3	tho	tho
...	~	OOV	3	...	...
Bruh	N	OOV	4	Bru	ruh
,	,	IV	1	,	,
no	!	IV	2	no	no
excuse	N	IV	6	exc	use
			
RT	~	IV	2	RT	RT
@antioppars	@	IV	11	@an	ars
:	,	IV	1	:	:
#openfollow	#	IV	11	#op	low
for	P	IV	3	for	for
all	D	IV	3	all	all
kpopers	!	OOV	7	kpo	ers
esp	!	IV	3	esp	esp
.	,	IV	1	.	.
elf	^	IV	3	elf	elf
exostan	!	OOV	7	exo	tan
bana	!	IV	4	ban	ana
army	N	IV	4	arm	rmy
starlight	N	IV	9	sta	ght
.	,	IV	1	.	.
jfb	!	OOV	3	jfb	jfb
juseyo	!	OOV	6	jus	eyo
~	G	OOV	1	~	~
			
@Dav07855	@	IV	9	@Da	855
I	O	IV	1	I	I
haven't	V	IV	7	hav	n't
got	V	IV	3	got	got
time	N	IV	4	tim	ime
to	P	IV	2	to	to
give	V	IV	4	giv	ive
IT	O	IV	2	IT	IT
lessons	N	IV	7	les	ons
lol	!	IV	3	lol	lol
just	R	IV	4	jus	ust
use	V	IV	3	use	use
adultwork	!	OOV	9	adu	ork
			
.	,	IV	1	.	.
See	V	IV	3	See	See
ii	O	IV	2	ii	ii
respect	V	IV	7	res	ect
Nassau	^	IV	6	Nas	sau
&	&	OOV	1	&	&
junkanoo	!	OOV	8	jun	noo
but	&	IV	3	but	but
they	O	IV	4	the	hey
know	V	IV	4	kno	now
they	O	IV	4	the	hey
could	V	IV	5	cou	uld
have	V	IV	4	hav	ave
come	V	IV	4	com	ome
out	T	IV	3	out	out
wayy	N	OOV	4	way	ayy
better	A	IV	6	bet	ter
than	P	IV	4	tha	han
this	O	IV	4	thi	his
.	,	IV	1	.	.
smt	!	OOV	3	smt	smt
remind	V	IV	6	rem	ind
me	O	IV	2	me	me
of	P	IV	2	of	of
fpo	!	OOV	3	fpo	fpo
junkanoo	!	OOV	8	jun	noo
			
RT	~	IV	2	RT	RT
@FootyHumour	@	IV	12	@Fo	our
:	,	IV	1	:	:
Legend	N	IV	6	Leg	end
has	V	IV	3	has	has
it	O	IV	2	it	it
that	O	IV	4	tha	hat
Cristiano	^	IV	9	Cri	ano
Ronaldo	^	IV	7	Ron	ldo
just	R	IV	4	jus	ust
magically	R	IV	9	mag	lly
appears	V	IV	7	app	ars
when	R	IV	4	whe	hen
there	R	IV	5	the	ere
is	V	IV	2	is	is
a	D	IV	1	a	a
free	A	IV	4	fre	ree
kick	N	IV	4	kic	ick
.	,	IV	1	.	.
			
@Riju_Babai	@	IV	11	@Ri	bai
We	O	IV	2	We	We
recommend	V	IV	9	rec	end
you	O	IV	3	you	you
to	P	IV	2	to	to
buy	V	IV	3	buy	buy
Moto	N	IV	4	Mot	oto
G	!	IV	1	G	G
			
Both	!	IV	4	Bot	oth
actd	!	OOV	4	act	ctd
n	&	IV	1	n	n
2	$	IV	1	2	2
music-orientd	N	OOV	13	mus	ntd
dramas/she	N	OOV	10	dra	she
dd	^	IV	2	dd	dd
a	D	IV	1	a	a
Chaebol	!	OOV	7	Cha	bol
relatd	!	OOV	6	rel	atd
drama	N	IV	5	dra	ama
,	,	IV	1	,	,
he	O	IV	2	he	he
dd	^	IV	2	dd	dd
a	D	IV	1	a	a
Chaebol	!	OOV	7	Cha	bol
role	N	IV	4	rol	ole
too/shes	R	OOV	8	too	hes
doing	V	IV	5	doi	ing
Sageuk	^	IV	6	Sag	euk
movie	N	IV	5	mov	vie
,	,	IV	1	,	,
hes	L	IV	3	hes	hes
doing	V	IV	5	doi	ing
Sageuk	^	IV	6	Sag	euk
drama	N	IV	5	dra	ama
too	R	IV	3	too	too
			
#NFL	#	IV	4	#NF	NFL
2013	$	IV	4	201	013
:	,	IV	1	:	:
NFC	^	IV	3	NFC	NFC
West	^	IV	4	Wes	est
team	N	IV	4	tea	eam
TD	^	IV	2	TD	TD
pass	N	IV	4	pas	ass
leader	N	IV	6	lea	der
:	,	IV	1	:	:
#Seahawks	#	IV	9	#Se	wks
R	N	IV	1	R	R
Wilson	^	IV	6	Wil	son
(	,	IV	1	(	(
26	$	IV	2	26	26
)	,	IV	1	)	)
,	,	IV	1	,	,
#Cardinals	^	IV	10	#Ca	als
C	N	IV	1	C	C
Palmer	^	IV	6	Pal	mer
(	,	IV	1	(	(
24	$	IV	2	24	24
)	,	IV	1	)	)
,	,	IV	1	,	,
#49ers	^	IV	6	#49	ers
C	N	IV	1	C	C
Kaepernick	^	IV	10	Kae	ick
(	,	IV	1	(	(
21	$	IV	2	21	21
)	,	IV	1	)	)
,	,	IV	1	,	,
#Rams	#	IV	5	#Ra	ams
S	G	IV	1	S	S
Bradford	^	IV	8	Bra	ord
(	,	IV	1	(	(
14	$	IV	2	14	14
)	,	IV	1	)	)
			
The	D	IV	3	The	The
Immigrant	A	OOV	9	Imm	ant
,	,	IV	1	,	,
starring	V	IV	8	sta	ing
Joaquin	^	IV	7	Joa	uin
Phoenix	^	IV	7	Pho	nix
,	,	IV	1	,	,
Jeremy	^	IV	6	Jer	emy
Renner	^	IV	6	Ren	ner
and	&	IV	3	and	and
Marion	^	IV	6	Mar	ion
Cotillard	^	IV	9	Cot	ard
is	V	IV	2	is	is
now	R	IV	3	now	now
playing	V	IV	7	pla	ing
at	P	IV	2	at	at
Harkins	^	IV	7	Har	ins
Camelview	^	IV	9	Cam	iew
5	$	IV	1	5	5
!	,	IV	1	!	!
http://t.co/4ev9Pmjcrz	U	IV	22	htt	crz
			
@HannaRobbiekay	@	IV	15	@Ha	kay
@AvrilLavigne	@	IV	13	@Av	gne
yeah	!	IV	4	yea	eah
haha	!	IV	4	hah	aha
like	P	IV	4	lik	ike
a	D	IV	1	a	a
loooot	N	OOV	6	loo	oot
XD	E	OOV	2	XD	XD
			
Boutta	P	OOV	6	Bou	tta
ice	N	IV	3	ice	ice
my	D	IV	2	my	my
achilles	N	OOV	8	ach	les
again	R	IV	5	aga	ain
before	P	IV	6	bef	ore
i	O	IV	1	i	i
go	V	IV	2	go	go
to	P	IV	2	to	to
slp	N	OOV	3	slp	slp
			
@OolalaLisa	@	IV	11	@Oo	isa
hahaha	!	OOV	6	hah	aha
im	L	IV	2	im	im
serious	A	IV	7	ser	ous
.	,	IV	1	.	.
When	R	OOV	4	Whe	hen
I	O	IV	1	I	I
ate	V	IV	3	ate	ate
that	O	IV	4	tha	hat
jalepeno	!	OOV	8	jal	eno
pepper	N	IV	6	pep	per
after	P	IV	5	aft	ter
@jc_birdman13	@	IV	13	@jc	n13
dared	V	IV	5	dar	red
me	O	IV	2	me	me
to	P	IV	2	to	to
,	,	IV	1	,	,
I	O	IV	1	I	I
didnt	V	OOV	5	did	dnt
feel	V	IV	4	fee	eel
better	A	IV	6	bet	ter
til	P	IV	3	til	til
I	O	IV	1	I	I
threw	V	IV	5	thr	rew
up	T	IV	2	up	up
4	$	IV	1	4	4
times	N	IV	5	tim	mes
!	,	IV	1	!	!
			
Havent	V	OOV	6	Hav	ent
a	D	IV	1	a	a
clue	N	IV	4	clu	lue
what	O	IV	4	wha	hat
they	O	IV	4	the	hey
are	V	IV	3	are	are
singing	V	IV	7	sin	ing
now	R	IV	3	now	now
but	&	IV	3	but	but
they	O	IV	4	the	hey
sound	V	IV	5	sou	und
goood	A	OOV	5	goo	ood
			
Im	L	IV	2	Im	Im
glad	A	IV	4	gla	lad
of	P	IV	2	of	of
his	D	IV	3	his	his
wallpaper	N	IV	9	wal	per
*_*	E	OOV	3	*_*	*_*
haha	!	IV	4	hah	aha
			
Citi	^	IV	4	Cit	iti
Citi	^	IV	4	Cit	iti
-	,	IV	1	-	-
6	$	IV	1	6	6
.	,	IV	1	.	.
On	P	IV	2	On	On
Me	O	IV	2	Me	Me
[	,	IV	1	[	[
Hosted	V	OOV	6	Hos	ted
by	P	IV	2	by	by
Dj	^	IV	2	Dj	Dj
Louie	^	IV	5	Lou	uie
V	N	IV	1	V	V
]	,	IV	1	]	]
@BossCiti	@	IV	9	@Bo	iti
:	,	IV	1	:	:
http://t.co/awP5gnYeJb	U	IV	22	htt	eJb
via	P	IV	3	via	via
@YouTube	@	IV	8	@Yo	ube
			
@sonialibra09	@	IV	13	@so	a09
yup	!	IV	3	yup	yup
..	,	IV	2	..	..
n	&	IV	1	n	n
end	N	IV	3	end	end
of	P	IV	2	of	of
june	^	IV	4	jun	une
RAMDAN	!	OOV	6	RAM	DAN
!	,	IV	1	!	!
			
@MShofique	@	IV	10	@MS	que
i	O	IV	1	i	i
was	V	IV	3	was	was
gona	V	IV	4	gon	ona
say	V	IV	3	say	say
something	N	IV	9	som	ing
mean	V	IV	4	mea	ean
but	&	IV	3	but	but
nvm	!	OOV	3	nvm	nvm
.	,	IV	1	.	.
Lol	!	IV	3	Lol	Lol
			
@ohshixvn12	@	IV	11	@oh	n12
omg	!	OOV	3	omg	omg
I	O	IV	1	I	I
dont	V	IV	4	don	ont
remember	V	IV	8	rem	ber
having	V	IV	6	hav	ing
son	N	IV	3	son	son
like	P	IV	4	lik	ike
you	O	IV	3	you	you
/sobs	E	OOV	5	/so	obs
			
@darkpython98	@	IV	13	@da	n98
ahh	!	IV	3	ahh	ahh
ive	L	IV	3	ive	ive
never	R	IV	5	nev	ver
used	V	IV	4	use	sed
Nightbot	!	OOV	8	Nig	bot
b4	P	OOV	2	b4	b4
either	D	IV	6	eit	her
Kappa	^	IV	5	Kap	ppa
			
@baracxnt	@	IV	9	@ba	xnt
bitch	N	IV	5	bit	tch
better	A	IV	6	bet	ter
be	V	IV	2	be	be
jokin	V	IV	5	jok	kin
,	,	IV	1	,	,
or	&	IV	2	or	or
imma	L	IV	4	imm	mma
flip	V	IV	4	fli	lip
the	D	IV	3	the	the
table	N	IV	5	tab	ble
			
Mayweather	^	IV	10	May	her
told	V	IV	4	tol	old
TI	^	IV	2	TI	TI
to	P	IV	2	to	to
control	N	IV	7	con	rol
his	D	IV	3	his	his
bitch	N	IV	5	bit	tch
.	,	IV	1	.	.
Tiny	A	OOV	4	Tin	iny
must	V	IV	4	mus	ust
be	V	IV	2	be	be
out	T	IV	3	out	out
here	R	IV	4	her	ere
hoein	V	IV	5	hoe	ein
around	P	IV	6	aro	und
.	,	IV	1	.	.
			
I	O	IV	1	I	I
say	V	IV	3	say	say
Mr.	^	IV	3	Mr.	Mr.
Molson	^	IV	6	Mol	son
gives	V	IV	5	giv	ves
us	O	IV	2	us	us
all	D	IV	3	all	all
those	O	IV	5	tho	ose
Habs	^	IV	4	Hab	abs
cupcakes	N	IV	8	cup	kes
for	P	IV	3	for	for
all	D	IV	3	all	all
the	D	IV	3	the	the
icings	L	IV	6	ici	ngs
.	,	IV	1	.	.
			
@RayfSwan	@	IV	9	@Ra	wan
O	!	IV	1	O	O
thats	L	OOV	5	tha	ats
great	A	IV	5	gre	eat
;)	E	OOV	2	;)	;)
aur	G	IV	3	aur	aur
whats	L	IV	5	wha	ats
up	T	IV	2	up	up
;)	E	OOV	2	;)	;)
			
RT	~	IV	2	RT	RT
@blakemoran_	@	IV	12	@bl	an_
:	,	IV	1	:	:
New	A	IV	3	New	New
dubstep	N	OOV	7	dub	tep
from	P	IV	4	fro	rom
me	O	IV	2	me	me
comin	V	IV	5	com	min
out	T	IV	3	out	out
in	P	IV	2	in	in
like	P	IV	4	lik	ike
10	$	IV	2	10	10
minutes	N	IV	7	min	tes
,	,	IV	1	,	,
retweet	V	OOV	7	ret	eet
this	O	IV	4	thi	his
for	P	IV	3	for	for
awareness	N	IV	9	awa	ess
!!!!!!!!!!!!!	,	IV	13	!!!	!!!
http://t.co/iEgt4mv8Kc	U	IV	22	htt	8Kc
			
RT	~	IV	2	RT	RT
@ASCO	@	IV	5	@AS	SCO
:	,	IV	1	:	:
Our	D	OOV	3	Our	Our
first	A	IV	5	fir	rst
Cancer	N	IV	6	Can	cer
Survivorship	!	OOV	12	Sur	hip
Compendium	N	OOV	10	Com	ium
for	P	IV	3	for	for
healthcare	N	OOV	10	hea	are
providers	N	IV	9	pro	ers
http://t.co/KvRdLO1H08	U	IV	22	htt	H08
			
Hawt	A	IV	4	Haw	awt
like	P	IV	4	lik	ike
"	,	IV	1	"	"
OMG	!	OOV	3	OMG	OMG
CAN	V	OOV	3	CAN	CAN
MY	D	OOV	2	MY	MY
HUSBAND	N	OOV	7	HUS	AND
PLEASE	V	OOV	6	PLE	ASE
LOOK	V	OOV	4	LOO	OOK
LIKE	P	OOV	4	LIK	IKE
YOU	O	OOV	3	YOU	YOU
OR	&	IV	2	OR	OR
CAN	V	OOV	3	CAN	CAN
I	O	IV	1	I	I
HAVE	V	OOV	4	HAV	AVE
YOUR	!	OOV	4	YOU	OUR
BABIES	N	OOV	6	BAB	IES
"	,	IV	1	"	"
			
@kyshunmorrise23	@	IV	16	@ky	e23
nah	!	IV	3	nah	nah
Ima	L	OOV	3	Ima	Ima
be	V	IV	2	be	be
in	P	IV	2	in	in
the	D	IV	3	the	the
Lexus	^	IV	5	Lex	xus
prolly	R	OOV	6	pro	lly
why	R	IV	3	why	why
wassup	!	OOV	6	was	sup
?	,	IV	1	?	?
			
I	O	IV	1	I	I
NEED	V	OOV	4	NEE	EED
CUDDLEZ	!	OOV	7	CUD	LEZ
.	,	IV	1	.	.
*	,	IV	1	*	*
SEES	V	OOV	4	SEE	EES
OTHER	A	OOV	5	OTH	HER
PPL	N	OOV	3	PPL	PPL
APPROCHING	!	OOV	10	APP	ING
*	,	IV	1	*	*
FAK	!	OOV	3	FAK	FAK
OFF	P	OOV	3	OFF	OFF
.	,	IV	1	.	.
ONLY	R	OOV	4	ONL	NLY
SILVER	N	OOV	6	SIL	VER
CAN	V	OOV	3	CAN	CAN
.	,	IV	1	.	.
#JANEBOT	#	IV	8	#JA	BOT
			
Minuman	^	IV	7	Min	man
botol	!	OOV	5	bot	tol
yg	!	IV	2	yg	yg
tgh	G	OOV	3	tgh	tgh
itu	!	IV	3	itu	itu
virgils	^	IV	7	vir	ils
?	,	IV	1	?	?
RT	~	IV	2	RT	RT
@OMGtrolls	@	IV	10	@OM	lls
:	,	IV	1	:	:
still	R	IV	5	sti	ill
a	D	IV	1	a	a
badass	A	OOV	6	bad	ass
http://t.co/L11I1XnJuT	U	IV	22	htt	JuT
			
RT	~	IV	2	RT	RT
@plumphyuk	@	IV	10	@pl	yuk
:	,	IV	1	:	:
@Prambors	@	IV	9	@Pr	ors
Depok	^	IV	5	Dep	pok
John	^	IV	4	Joh	ohn
legend	N	IV	6	leg	end
All	D	IV	3	All	All
of	P	IV	2	of	of
me	O	IV	2	me	me
shinee	^	IV	6	shi	nee
#LNHOT20	#	IV	8	#LN	T20
			
@michaeljohnevan	@	IV	16	@mi	van
@jon_flan93	@	IV	11	@jo	n93
thats	L	OOV	5	tha	ats
animal	N	IV	6	ani	mal
abuse	N	IV	5	abu	use
in	P	IV	2	in	in
your	D	IV	4	you	our
profile	N	IV	7	pro	ile
pic	N	IV	3	pic	pic
plz	!	OOV	3	plz	plz
release	N	IV	7	rel	ase
them	O	IV	4	the	hem
baby	N	IV	4	bab	aby
elephants	N	IV	9	ele	nts
to	P	IV	2	to	to
the	D	IV	3	the	the
wild	A	IV	4	wil	ild
#gingerprick	#	IV	12	#gi	ick
			
RT	~	IV	2	RT	RT
@FoxTCAwards	@	IV	12	@Fo	rds
:	,	IV	1	:	:
Retweet	V	OOV	7	Ret	eet
if	P	IV	2	if	if
you	O	IV	3	you	you
want	V	IV	4	wan	ant
to	P	IV	2	to	to
see	V	IV	3	see	see
@ddlovato	@	IV	9	@dd	ato
nominated	V	IV	9	nom	ted
&	&	OOV	1	&	&
perfoming	V	OOV	9	per	ing
this	O	IV	4	thi	his
year	N	IV	4	yea	ear
#TCAs2014	#	IV	9	#TC	014
http://t.co/Apq25Ivm4v	U	IV	22	htt	m4v
			
